protID	geneID	protName	capUse_CN4	capUse_CN22	capUse_CN38	capUse_CN75	capUse_hGR	absUse_CN4	absUse_CN22	absUse_CN38	absUse_CN75	absUse_hGR	UB_CN4	UB_CN22	UB_CN38	UB_CN75	UB_hGR
P13259	YGR202C	PCT1	0	0	0	0	0	0	0	0	0	0	2.38e-07	2.69e-07	2.31e-07	1.91e-07	2.59e-07
P13298	YML106W	URA5	0.106	0.0828	0.158	0.166	0.443	2.62e-07	2.62e-07	2.62e-07	2.62e-07	7.6e-07	2.46e-06	3.16e-06	1.66e-06	1.58e-06	1.72e-06
P13663	YDR158W	HOM2	0.00427	0.00815	0.00855	0.00844	0.0153	7.94e-08	8.74e-08	5.24e-08	4.29e-08	1.89e-07	1.86e-05	1.07e-05	6.13e-06	5.08e-06	1.23e-05
P13711	YGL205W	POX1	0	0	0	0	0	0	0	0	0	0	5.02e-06	3.32e-06	3.98e-07	2.23e-07	6.77e-07
P14020	YPR183W	DPM1	0.036	0.0356	0.117	0.146	0.158	2.02e-07	1.72e-07	3.06e-07	3.43e-07	7.45e-07	5.61e-06	4.82e-06	2.62e-06	2.35e-06	4.71e-06
P14065	YOR120W	GCY1	0	0	0	0	0	0	0	0	0	0	2.95e-06	3.98e-06	1.24e-06	9.81e-07	2.75e-07
P14180	YBR038W	CHS2	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P14540	YKL060C	FBA1	0	0	0.101	0.211	0.293	0	0	1.41e-05	2.48e-05	3.49e-05	0.000207	0.000267	0.00014	0.000118	0.000119
P14742	YKL104C	GFA1	0	0	0	0	0	0	0	0	0	0	3.12e-06	3.12e-06	1.76e-06	1.57e-06	1.52e-06
P14843	YDR035W	ARO3	0	0.0364	0.0378	0.0313	0	0	8.27e-08	4.96e-08	4.06e-08	0	3.07e-06	2.27e-06	1.31e-06	1.3e-06	1.4e-06
P15019	YLR354C	TAL1	0.124	0.155	0	0	0	3.28e-06	4.56e-06	0	0	0	2.65e-05	2.94e-05	1.48e-05	1.22e-05	1.52e-05
P15179	YPL104W	MSD1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P15180	YDR037W	KRS1	0.0186	0.0301	0.0308	0.0272	0.0723	2.17e-07	2.39e-07	1.43e-07	1.17e-07	5.17e-07	1.17e-05	7.93e-06	4.66e-06	4.31e-06	7.14e-06
P15202	YDR256C	CTA1	0	0	0	0	0	0	0	0	0	0	1.65e-05	2.43e-06	2.03e-07	9.03e-08	3.57e-07
P15274	YML035C	AMD1	0	0	0	0	0	0	0	0	0	0	2.55e-07	2.76e-07	2.18e-07	1.67e-07	2.4e-07
P15454	YDR454C	GUK1	3.53e-05	4.56e-05	7.69e-05	8.11e-05	0.000211	4.08e-10	4.08e-10	4.08e-10	4.08e-10	1.18e-09	1.16e-05	8.95e-06	5.31e-06	5.03e-06	5.6e-06
P15496	YPL117C	IDI1	2.17e-05	1.86e-05	5.11e-05	5.79e-05	0.000129	5.2e-11	4.41e-11	7.87e-11	8.81e-11	1.92e-10	2.4e-06	2.37e-06	1.54e-06	1.52e-06	1.49e-06
P15624	YLR060W	FRS1	0.00139	0.00184	0.00179	0.00162	0.00342	7.7e-09	8.47e-09	5.08e-09	4.16e-09	1.83e-08	5.55e-06	4.61e-06	2.84e-06	2.57e-06	5.35e-06
P15625	YFL022C	FRS2	0.0017	0.00207	0.00201	0.00172	0.00435	7.7e-09	8.47e-09	5.08e-09	4.16e-09	1.83e-08	4.54e-06	4.1e-06	2.53e-06	2.41e-06	4.21e-06
P15700	YKL024C	URA6	0.00136	0.0018	0.00401	0.00415	0.00728	6.01e-09	6.01e-09	6.01e-09	6.01e-09	1.74e-08	4.41e-06	3.35e-06	1.5e-06	1.45e-06	2.4e-06
P15703	YGR282C	BGL2	0	0	0	0	0	0	0	0	0	0	1.24e-05	1.8e-05	1.12e-05	9.37e-06	6.13e-06
P15807	YBR213W	MET8	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P16120	YCR053W	THR4	0.00046	0.000474	0.000516	0.000494	0.00138	3.21e-09	3.53e-09	2.12e-09	1.73e-09	7.63e-09	6.98e-06	7.45e-06	4.11e-06	3.5e-06	5.55e-06
P16140	YBR127C	VMA2	0	0	0	0	0	0	0	0	0	0	9.58e-06	1.45e-05	1.19e-05	1.13e-05	9.41e-06
P16387	YER178W	PDA1	0.121	0.103	0.129	0.103	0.926	1.45e-06	1.48e-06	1.08e-06	6.89e-07	7.29e-06	1.2e-05	1.44e-05	8.41e-06	6.7e-06	7.87e-06
P16451	YGR193C	PDX1	1	1	1	1	1	1.45e-06	1.48e-06	1.08e-06	6.89e-07	7.29e-06	1.45e-06	1.48e-06	1.08e-06	6.89e-07	7.29e-06
P16467	YLR134W	PDC5	1	1	1	0	1	1.69e-07	1.43e-07	5.82e-09	0	1.28e-07	1.69e-07	1.43e-07	5.82e-09	1.71e-08	1.28e-07
P16550	YCL050C	APA1	0.00694	0.00703	0.00646	0.00536	0.0327	2.07e-08	2.27e-08	1.36e-08	1.12e-08	4.92e-08	2.98e-06	3.23e-06	2.11e-06	2.08e-06	1.5e-06
P16603	YHR042W	NCP1	0.205	0.164	0.412	0.465	0.99	2.28e-07	1.94e-07	3.46e-07	3.87e-07	8.43e-07	1.11e-06	1.18e-06	8.4e-07	8.32e-07	8.51e-07
P16622	YOR176W	HEM15	4.99e-05	4.84e-05	6.76e-05	8.1e-05	0.000203	9.26e-11	9.26e-11	9.26e-11	9.26e-11	2.68e-10	1.86e-06	1.91e-06	1.37e-06	1.14e-06	1.32e-06
P16661	YBR110W	ALG1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	2.45e-07	Inf	Inf
P16861	YGR240C	PFK1	0	0	0.115	0.244	0.0243	0	0	7.16e-07	1.3e-06	1.93e-07	9.05e-06	8.57e-06	6.24e-06	5.32e-06	7.95e-06
P16862	YMR205C	PFK2	0.0593	0.082	0.0889	0.159	0.312	7.28e-07	1.02e-06	7.96e-07	1.3e-06	3.37e-06	1.23e-05	1.25e-05	8.96e-06	8.15e-06	1.08e-05
P17255	YDL185W	VMA1	0	0	0	0	0	0	0	0	0	0	1.2e-05	1.26e-05	1.13e-05	1.07e-05	8.64e-06
P17423	YHR025W	THR1	0.187	0.18	0.242	0.21	1	3.21e-07	3.53e-07	2.12e-07	1.73e-07	7.63e-07	1.71e-06	1.96e-06	8.75e-07	8.26e-07	7.63e-07
P17505	YKL085W	MDH1	0.0204	0.0271	0.0277	0.018	0.132	3.68e-07	3.84e-07	2.42e-07	1e-07	2.15e-06	1.81e-05	1.42e-05	8.75e-06	5.58e-06	1.63e-05
P17649	YGR019W	UGA1	0	0	0.183	0	0	0	0	2.41e-07	0	0	2.04e-06	1.85e-06	1.32e-06	1.29e-06	4.41e-07
P17695	YDR513W	GRX2	0	0	0	0	0	0	0	0	0	0	9.81e-06	8.91e-06	5.31e-06	4.21e-06	2.57e-06
P17709	YCL040W	GLK1	0	0.0913	0.251	0	0.55	0	1.59e-06	2.16e-06	0	5.75e-06	2.71e-05	1.74e-05	8.61e-06	6.42e-06	1.04e-05
P17898	YNL130C	CPT1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P18408	YPR167C	MET16	0.911	0.841	0.861	0.729	0.99	5.67e-07	6.24e-07	3.74e-07	3.06e-07	1.35e-06	6.22e-07	7.42e-07	4.35e-07	4.2e-07	1.36e-06
P18544	YOL140W	ARG8	0.817	0.99	1	1	0.99	3.96e-06	3.96e-06	2.42e-06	2.21e-06	8.55e-06	4.85e-06	4e-06	2.42e-06	2.21e-06	8.64e-06
P18562	YHR128W	FUR1	0	0	0	0	0	0	0	0	0	0	5.41e-06	4.01e-06	2.76e-06	2.52e-06	3.93e-06
P18900	YBR003W	COQ1	0	0	0	0	0	0	0	0	0	0	3.52e-08	2.26e-08	1.55e-08	1.24e-08	5.97e-08
P19097	YPL231W	FAS2	0.146	0.118	0.322	0.466	0.983	2.29e-06	1.94e-06	3.47e-06	3.88e-06	8.45e-06	1.57e-05	1.64e-05	1.08e-05	8.33e-06	8.59e-06
P19262	YDR148C	KGD2	0.215	0.289	0.229	4.45e-06	0.846	2.5e-06	2.46e-06	1.37e-06	1.6e-11	5.82e-06	1.16e-05	8.52e-06	5.98e-06	3.59e-06	6.88e-06
P19358	YDR502C	SAM2	0	0	0	0	0	0	0	0	0	0	8.16e-05	6.99e-05	5.83e-05	5.07e-05	5.53e-05
P19414	YLR304C	ACO1	0.0234	0.0197	0.0137	0.00921	0.0991	4.89e-07	5.1e-07	3.22e-07	1.33e-07	2.86e-06	2.09e-05	2.58e-05	2.35e-05	1.45e-05	2.89e-05
P19516	YPL132W	COX11	0.133	0	0	0	0.0476	6.35e-07	0	0	0	1.24e-07	4.77e-06	4.12e-06	2.84e-06	2.34e-06	2.61e-06
P19657	YPL036W	PMA2	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P20048	YMR013C	SEC59	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P20049	YBR166C	TYR1	0.434	0.454	0.373	0.328	0.99	1.34e-07	1.48e-07	8.88e-08	7.26e-08	3.2e-07	3.09e-07	3.26e-07	2.38e-07	2.21e-07	3.23e-07
P20051	YLR420W	URA4	0.99	0.903	0.99	0.99	0.99	1.14e-06	1.14e-06	1.14e-06	1.14e-06	3.31e-06	1.15e-06	1.26e-06	1.15e-06	1.15e-06	3.34e-06
P20485	YLR133W	CKI1	0	0	0	0	0	0	0	0	0	0	8.14e-07	8.81e-07	7.14e-07	7.1e-07	8.22e-07
P20967	YIL125W	KGD1	0.45	0.718	0.551	8.76e-06	1	2.5e-06	2.46e-06	1.37e-06	1.6e-11	5.82e-06	5.56e-06	3.42e-06	2.49e-06	1.83e-06	5.82e-06
P21147	YGL055W	OLE1	0.99	0.99	0.99	0.99	0.99	5.78e-06	4.91e-06	8.76e-06	9.81e-06	2.13e-05	5.84e-06	4.96e-06	8.85e-06	9.91e-06	2.16e-05
P21182	YOL052C	SPE2	0	0	0	0	0	0	0	0	0	0	8.62e-07	9.51e-07	5.78e-07	4.55e-07	5.52e-07
P21264	YOR128C	ADE2	0.0153	0.0145	0.0212	0.0208	0.0477	6.34e-08	6.34e-08	6.34e-08	6.34e-08	1.84e-07	4.14e-06	4.38e-06	2.99e-06	3.05e-06	3.85e-06
P21306	YPL271W	ATP15	0.584	0.672	0.605	0.551	1	1.6e-05	1.52e-05	1.1e-05	6.7e-06	3.3e-05	2.74e-05	2.26e-05	1.82e-05	1.22e-05	3.3e-05
P21373	YJR049C	UTR1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P21524	YER070W	RNR1	0.464	0.347	0.559	0.311	0.702	9.19e-07	9.19e-07	1.15e-06	5.75e-07	1.67e-06	1.98e-06	2.65e-06	2.06e-06	1.85e-06	2.37e-06
P21592	YPL172C	COX10	0	0	0	0	0	8.42e-12	8.42e-12	8.42e-12	8.42e-12	2.44e-11	Inf	Inf	Inf	Inf	Inf
P21595	YDR402C	DIT2	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P21623	YDR403W	DIT1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P21672	YIL066C	RNR3	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P21801	YLL041C	SDH2	0.0583	0.0842	0.0846	0.0125	0.467	2.25e-07	2.22e-07	1.53e-07	1.37e-08	2e-06	3.87e-06	2.63e-06	1.81e-06	1.09e-06	4.29e-06
P21826	YIR031C	DAL7	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P21954	YDL066W	IDP1	0.136	0.135	0.16	0	0.355	8.98e-07	8.95e-07	7.35e-07	0	1.91e-06	6.62e-06	6.62e-06	4.6e-06	4.12e-06	5.39e-06
P22007	YDL090C	RAM1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P22108	YDR530C	APA2	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P22133	YOL126C	MDH2	0.000438	0.00119	0.00206	0.0143	0.00518	3.8e-09	4.22e-09	2.11e-09	1.08e-08	5.7e-09	8.69e-06	3.54e-06	1.03e-06	7.51e-07	1.1e-06
P22140	YHR123W	EPT1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P22203	YOR332W	VMA4	0	0	0	0	0	0	0	0	0	0	8.34e-06	1.45e-05	1.14e-05	1.16e-05	6.53e-06
P22217	YLR043C	TRX1	0	0.00499	0	0.0062	0	0	7.56e-08	0	4.22e-08	0	1.39e-05	1.52e-05	8.79e-06	6.8e-06	1.08e-05
P22219	YBR097W	VPS15	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P22289	YGR183C	QCR9	1	1	1	1	0.995	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.71e-05	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.72e-05
P22434	YGL248W	PDE1	0	0	0	0	0	0	0	0	0	0	8.9e-07	9.01e-07	7.95e-07	7.06e-07	2.87e-07
P22438	YGR171C	MSM1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P22543	YLR240W	VPS34	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P22580	YDR242W	AMD2	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P22768	YOL058W	ARG1	0.015	0.0108	0.00641	0.00643	0.0629	3.23e-07	3.55e-07	2.13e-07	1.74e-07	7.68e-07	2.15e-05	3.28e-05	3.33e-05	2.71e-05	1.22e-05
P22803	YGR209C	TRX2	0.0531	0.0379	0.0399	0.0352	0.449	6.37e-07	6.24e-07	4.24e-07	3.06e-07	1.52e-06	1.2e-05	1.64e-05	1.06e-05	8.71e-06	3.38e-06
P23202	YNL229C	URE2	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	5.31e-07
P23254	YPR074C	TKL1	0.0169	0.0315	0.0824	0.0741	0.165	2.83e-07	5.2e-07	7.41e-07	6.67e-07	3.27e-06	1.67e-05	1.65e-05	8.99e-06	9e-06	1.98e-05
P23337	YFR015C	GSY1	0.027	0.0191	0.12	0.118	0.136	1.33e-08	1.13e-08	2.01e-08	2.25e-08	4.91e-08	4.93e-07	5.91e-07	1.68e-07	1.91e-07	3.6e-07
P23501	YKR053C	YSR3	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P23542	YLR027C	AAT2	0.0055	0.00777	0.00609	0.0062	0.0173	7.57e-08	8.21e-08	5.39e-08	4.62e-08	1.86e-07	1.38e-05	1.06e-05	8.84e-06	7.45e-06	1.07e-05
P23776	YLR300W	EXG1	0	0	0	0	0	0	0	0	0	0	7.04e-08	1e-07	5.97e-08	5.64e-08	4.14e-08
P23797	YMR281W	GPI12	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P23968	YHR026W	VMA16	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P24031	YBR092C	PHO3	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P24521	YMR220W	ERG8	0.99	0.99	0.99	0.99	0.99	1.37e-06	1.16e-06	2.08e-06	2.32e-06	5.06e-06	1.38e-06	1.18e-06	2.1e-06	2.35e-06	5.11e-06
P25045	YMR296C	LCB1	0	0	0	0	0	0	0	0	0	0	2.91e-07	3.14e-07	2.25e-07	1.73e-07	3.13e-07
P25087	YML008C	ERG6	0	0	0	0	0	0	0	0	0	0	3.46e-05	4.22e-05	2.16e-05	1.9e-05	8.67e-06
P25332	YCR036W	RBK1	0	0	0	0	0	0	0	0	0	0	2.93e-06	2.96e-06	2.14e-06	1.57e-06	1.68e-06
P25335	YIR029W	DAL2	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P25340	YGL012W	ERG4	0	0	0	0	0	1.12e-06	9.55e-07	1.7e-06	1.91e-06	4.15e-06	Inf	Inf	Inf	Inf	Inf
P25345	YCR024C	SLM5	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	1.71e-08	Inf
P25358	YCR034W	ELO2	0	0	0	0	0	5.68e-07	3.47e-07	0	4.64e-07	9.81e-07	Inf	Inf	Inf	Inf	Inf
P25372	YCR083W	TRX3	0	0	0	0	0	0	0	0	0	0	2.36e-06	2.57e-06	1.58e-06	1.28e-06	5.86e-07
P25373	YCL035C	GRX1	0	0	0	0	0	0	0	0	0	0	9.2e-06	6.9e-06	5e-06	4.05e-06	2.87e-06
P25377	YCR105W	ADH7	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P25379	YCL064C	CHA1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P25515	YEL027W	VMA3	0	0	0	0	0	0	0	0	0	0	Inf	5.58e-08	5.74e-08	5.37e-08	Inf
P25576	YCL047C	POF1	0	0	0	0	0	0	0	0	0	0	1.16e-07	1.12e-07	7.78e-08	7.38e-08	6.74e-08
P25578	YCL004W	PGS1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P25580	YCL052C	PBN1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P25605	YCL009C	ILV6	0	0	0	0	0	0	0	0	0	0	6.16e-06	5.86e-06	3.46e-06	3.12e-06	4.4e-06
P25628	YCR048W	ARE1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P25641	YCR068W	ATG15	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P26263	YGR087C	PDC6	0	0	1	1	0	0	0	1.47e-06	2.12e-07	0	Inf	Inf	1.47e-06	2.12e-07	Inf
P26364	YER170W	ADK2	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P26637	YPL160W	CDC60	0.0686	0.0817	0.0761	0.0724	0.125	2.74e-07	3.02e-07	1.81e-07	1.48e-07	6.52e-07	4e-06	3.69e-06	2.38e-06	2.04e-06	5.19e-06
P26725	YJL139C	YUR1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P27472	YLR258W	GSY2	0	0	0	0	0	0	0	0	0	0	1.45e-06	1.03e-06	6.83e-07	5.6e-07	3.17e-07
P27515	YNR012W	URK1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P27616	YAR015W	ADE1	0.00449	0.0047	0.00772	0.00785	0.0228	3.28e-08	3.28e-08	3.28e-08	3.28e-08	9.5e-08	7.29e-06	6.96e-06	4.24e-06	4.17e-06	4.17e-06
P27680	YOL096C	COQ3	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P27697	YGL119W	COQ8	0	0	0	0	0	0	0	0	0	0	Inf	1.48e-07	7.65e-08	6.27e-08	Inf
P27796	YIL160C	POT1	0	0	0	0	0	0	0	0	0	0	3.97e-06	1.93e-06	5.24e-07	3.51e-07	2.58e-07
P27809	YDR483W	KRE2	0	0	0	0	0	0	0	0	0	0	2.33e-07	2.97e-07	2.18e-07	1.96e-07	1.98e-07
P27810	YOR099W	KTR1	0	0	0	0	0	0	0	0	0	0	4.78e-07	8.04e-07	4.96e-07	5.49e-07	6.21e-07
P28239	YMR267W	PPA2	1	1	1	1	1	9.27e-07	9.4e-07	8.9e-07	8.9e-07	2.62e-06	9.27e-07	9.4e-07	8.9e-07	8.9e-07	2.62e-06
P28240	YER065C	ICL1	0	0	0	0	1	0	0	0	0	1.85e-05	1.45e-05	5.37e-06	1.51e-06	5.08e-07	1.85e-05
P28241	YOR136W	IDH2	0	0.00415	0	0	0	0	7.87e-08	0	0	0	1.21e-05	1.9e-05	1.65e-05	1.11e-05	2.38e-05
P28272	YKL216W	URA1	0.153	0.169	0.246	0.287	0.489	3.33e-07	3.33e-07	3.33e-07	3.33e-07	9.65e-07	2.17e-06	1.96e-06	1.35e-06	1.16e-06	1.97e-06
P28274	YBL039C	URA7	0.0775	0.138	0	0.263	0	9.32e-08	9.32e-08	0	8.61e-08	0	1.2e-06	6.76e-07	3.91e-07	3.27e-07	1.3e-06
P28321	YKL094W	YJU3	0	0	0	0	0	0	0	0	0	0	1.48e-06	1.11e-06	9.7e-07	8.27e-07	8.89e-07
P28496	YKL008C	LAC1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P28777	YGL148W	ARO2	0.99	0.99	0.99	0.99	0.99	1.05e-05	1.16e-05	6.95e-06	5.69e-06	2.51e-05	1.06e-05	1.17e-05	7.02e-06	5.75e-06	2.53e-05
P28789	YDL205C	HEM3	0.000144	0.00031	0.000413	0.000493	0.000399	4.44e-10	4.44e-10	4.44e-10	4.44e-10	1.29e-09	3.09e-06	1.43e-06	1.08e-06	9.02e-07	3.23e-06
P28834	YNL037C	IDH1	0	0.0031	0	0	0	0	7.87e-08	0	0	0	1.85e-05	2.54e-05	1.82e-05	1.29e-05	2.75e-05
P29465	YBR023C	CHS3	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P29509	YDR353W	TRR1	0.00805	0.0132	0.0145	0.0138	0.0424	6.96e-08	7.56e-08	4.93e-08	4.22e-08	1.71e-07	8.64e-06	5.71e-06	3.4e-06	3.06e-06	4.03e-06
P29703	YKL019W	RAM2	0	0	0	0	0	0	0	0	0	0	3.2e-07	4.09e-07	2.01e-07	Inf	1.95e-07
P29704	YHR190W	ERG9	0.238	0.138	0.283	0.365	0.836	4.71e-07	4e-07	7.13e-07	7.98e-07	1.74e-06	1.98e-06	2.89e-06	2.51e-06	2.19e-06	2.08e-06
P29952	YER003C	PMI40	0.0222	0.016	0.0433	0.0518	0.112	1.02e-07	8.63e-08	1.54e-07	1.72e-07	3.75e-07	4.58e-06	5.39e-06	3.55e-06	3.32e-06	3.36e-06
P30402	YMR271C	URA10	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P30624	YOR317W	FAA1	0	1	0	0	1	0	5.16e-06	0	0	2.6e-06	7.99e-06	5.16e-06	4.23e-06	5.14e-06	2.6e-06
P30777	YGL142C	GPI10	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P30902	YKL016C	ATP7	0.584	0.672	0.605	0.551	1	1.6e-05	1.52e-05	1.1e-05	6.7e-06	3.3e-05	2.74e-05	2.26e-05	1.82e-05	1.22e-05	3.3e-05
P30952	YNL117W	MLS1	0	0	0	0	0	0	0	0	0	9.73e-07	Inf	Inf	Inf	Inf	Inf
P31115	YFL001W	DEG1	0	0	0	0	0	0	0	0	0	0	3.35e-08	2.89e-08	2.31e-08	1.32e-08	3.67e-08
P31116	YJR139C	HOM6	0.03	0.0284	0.0242	0.0222	0.0968	6.68e-07	7.34e-07	4.41e-07	3.61e-07	1.59e-06	2.22e-05	2.58e-05	1.82e-05	1.63e-05	1.64e-05
P31373	YAL012W	CYS3	0.00683	0.00985	0.00894	0.00747	0.0225	1.26e-07	1.38e-07	8.3e-08	6.79e-08	2.99e-07	1.84e-05	1.4e-05	9.29e-06	9.09e-06	1.33e-05
P31382	YAL023C	PMT2	1	1	1	1	1	5.94e-07	7.56e-07	5.59e-07	4.69e-07	7.21e-07	5.94e-07	7.56e-07	5.59e-07	4.69e-07	7.21e-07
P31412	YKL080W	VMA5	0	0	0	0	0	0	0	0	0	0	3.08e-06	5.03e-06	4e-06	3.67e-06	2.82e-06
P31688	YDR074W	TPS2	0.00764	0.00783	0.0181	0.0268	0.0725	3.08e-08	2.61e-08	4.66e-08	5.22e-08	1.14e-07	4.03e-06	3.34e-06	2.58e-06	1.95e-06	1.57e-06
P32048	YNL073W	MSK1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	1.24e-08	8.13e-09	Inf
P32178	YPR060C	ARO7	0.0825	0.0667	0.0489	0.0321	0.235	2.27e-08	2.49e-08	1.5e-08	1.22e-08	5.39e-08	2.75e-07	3.74e-07	3.06e-07	3.81e-07	2.3e-07
P32179	YOL064C	MET22	0.0678	0.064	0.0625	0.0554	0.186	1.8e-07	1.98e-07	1.19e-07	9.74e-08	4.29e-07	2.66e-06	3.1e-06	1.91e-06	1.76e-06	2.3e-06
P32190	YHL032C	GUT1	0	0	0	0	0	0	0	0	0	0	2.03e-06	4.45e-07	9.44e-08	5.49e-08	2.36e-06
P32191	YIL155C	GUT2	0	0	0	0	0	0	0	0	0	0	1.88e-05	9.83e-06	3.03e-06	2.27e-06	1.06e-05
P32263	YER023W	PRO3	0.00238	0.00177	0.00177	0.00161	0.00827	8.23e-09	9.05e-09	5.43e-09	4.44e-09	1.96e-08	3.46e-06	5.1e-06	3.07e-06	2.75e-06	2.36e-06
P32264	YDR300C	PRO1	1	1	0.981	1	1	4.46e-07	5.46e-07	3.21e-07	2.32e-07	1.18e-06	4.46e-07	5.46e-07	3.27e-07	2.32e-07	1.18e-06
P32288	YPR035W	GLN1	0.103	0.0168	0.0226	0.048	0.18	4.78e-07	5.09e-07	3.75e-07	7.17e-07	1.23e-06	4.64e-06	3.04e-05	1.66e-05	1.49e-05	6.81e-06
P32316	YBL015W	ACH1	0	0	0	0	0	0	0	0	0	0	1.36e-05	6.86e-06	4.11e-06	2.49e-06	1.38e-05
P32327	YBR218C	PYC2	0.189	0.213	0.193	0.643	0.478	1.27e-06	1.39e-06	8.17e-07	1.98e-06	2.59e-06	6.69e-06	6.52e-06	4.22e-06	3.08e-06	5.43e-06
P32340	YML120C	NDI1	0	0	0	0.00747	0.261	0	0	0	2.19e-08	2.42e-06	6.41e-06	5.19e-06	4.16e-06	2.93e-06	9.25e-06
P32347	YDR047W	HEM12	0.00129	0.0017	0.00239	0.00253	0.00563	1.25e-09	1.25e-09	1.25e-09	1.25e-09	3.62e-09	9.67e-07	7.34e-07	5.22e-07	4.94e-07	6.44e-07
P32352	YMR202W	ERG2	0	0	0	0	0	0	0	0	0	0	8.25e-06	8.8e-06	6.83e-06	5.78e-06	6.01e-06
P32353	YLR056W	ERG3	0	0	0	0	0	0	0	0	0	0	4.67e-07	5.7e-07	7.38e-07	6.05e-07	4.07e-07
P32356	YDR001C	NTH1	0	0	0	0	0	0	0	0	0	0	5.48e-07	5e-07	4.19e-07	3.46e-07	1.68e-07
P32366	YLR447C	VMA6	0	0	0	0	0	0	0	0	0	0	2.37e-06	4.46e-06	3.24e-06	3.94e-06	1.93e-06
P32368	YKL212W	SAC1	0	0	0	0	0	0	0	0	0	0	5.07e-07	5.74e-07	3.57e-07	3.29e-07	5.66e-07
P32375	YIR027C	DAL1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P32377	YNR043W	MVD1	0.12	0.117	0.273	0.331	0.617	9.51e-07	8.07e-07	1.44e-06	1.61e-06	3.51e-06	7.9e-06	6.87e-06	5.28e-06	4.87e-06	5.68e-06
P32378	YNR041C	COQ2	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P32383	YPL268W	PLC1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P32419	YDL078C	MDH3	0	0	0	0	0	0	0	0	0	0	1.05e-05	5.72e-06	2.97e-06	2.34e-06	3.47e-06
P32449	YBR249C	ARO4	0.00727	0	0	0	0.0252	7.51e-08	0	0	0	1.79e-07	1.03e-05	8.07e-06	3.34e-06	3.08e-06	7.1e-06
P32451	YGR286C	BIO2	0	0	0	0	0	0	0	0	0	0	3.2e-08	1.63e-08	6.68e-09	4.47e-09	2.83e-08
